ffscreencast 0.6.4-2
fftw 3.3.10-3
file 5.42-1
filelight 22.04.3-1
filesystem 2021.12.07-1
findutils 4.9.0-1
firefox 103.0.1-1
firejail 0.9.70-2
fish 3.5.1-1
flac 1.3.4-3
flashrom 1.2-4
flatpak 1:1.12.7-1
flex 2.6.4-3
fmt 8.1.1-2
fontconfig 2:2.14.0-1
fontforge 20220308-1
frameworkintegration 5.96.0-1
freeglut 3.2.2-2
freetype2 2.12.1-1
frei0r-plugins 1.8.0-2
fribidi 1.0.12-1
fuse-common 3.11.0-1
fuse2 2.9.9-4
fuse3 3.11.0-1
fwupd 1.8.3-1
fwupd-efi 1.3-1
gameconqueror 0.17-6
garcon 4.16.1-1
gavl 1.4.0-6
gawk 5.1.1-1
gc 8.2.0-3
gcab 1.4-2
gcc 12.1.1-4
gcc-libs 12.1.1-4
gcc-objc 12.1.1-4
gconf 3.2.6+11+g07808097-10
gcr 3.41.1-1
gd 2.3.3-4
gdb 12.1-1
gdb-common 12.1-1
gdbm 1.23-1
gdk-pixbuf2 2.42.8-1
gegl 0.4.38-1
geoclue 2.6.0-2
geocode-glib 3.26.3-1
gettext 0.21-2
ghostscript 9.56.1-1
giflib 5.2.1-2
gimp 2.10.32-1
git 2.37.1-1
github-cli 2.14.3-1
github-desktop 3.0.0-2
glew 2.2.0-3
glib-networking 1:2.72.1-1
glib2 2.72.3-1
glib2-docs 2.72.3-1
glibc 2.36-1
glibmm 2.66.4-1
glslang 11.10.0-1
glu 9.0.2-3
gmp 6.2.1-2
gnome-bluetooth-3.0 42.2-1
gnome-boxes 42.3-1
gnome-color-manager 3.36.0+r25+g4aab8b59-1
gnome-common 3.18.0-4
gnome-control-center 42.3-1
gnome-desktop 1:42.3-1
gnome-desktop-4 1:42.3-1
gnome-desktop-common 1:42.3-1
gnome-keyring 1:42.1-1
gnome-online-accounts 3.44.0-1
gnome-settings-daemon 42.2-1
gnu-free-fonts 20120503-8
gnugo 3.8-7
gnupg 2.2.36-1
gnustep-base 1.28.0-4
gnustep-make 2.9.0-1
gnutls 3.7.6-1
go 2:1.19-1
gobject-introspection 1.72.0-1
gobject-introspection-runtime 1.72.0-1
google-chrome 102.0.5005.61-1
gord-bin 2021_07_14-1
gparted 1.4.0-1
gperftools 2.10-1
gpgme 1.17.1-1
